SupplierID,SupplierName,RawMaterialBatchID,MaterialName,MaterialGrade,InitialQuantity,Unit,ReceiveDate,MachineID,MachineName,MachineType,LastMaintenanceDate,CustomerOrderID,CustomerName,OrderDate,ProductionOrderID,ComponentToProduce,QuantityToProduce,ScheduledStart,ScheduledEnd,Status,MaterialUsedBatchID,QuantityUsed,QualityCheckID,CheckTimestamp,Result,InspectorName
S-04,PlasticPro Inc.,RM-0001-A,PVC Pellets,Type 1,"4,466",KG,13-05-2025,M-301,P1-Robotic Welder 1,Welder,01-03-2025 10:55,C-500,Customer 10,09-05-2025 21:52,P1-25-1001,Component D3,844,18-05-2025 01:21,19-05-2025 00:21,Scheduled,,,,,,
S-06,Global Metals,RM-0002,Titanium Bar,Grade 5,1166,kg,10-03-2025,M-101,P1-CNC Lathe 1,Lathe,12-02-2025 18:00,C-500,Customer 139,14-Feb-25,P1_25_1002,Component W8,126,13-03-2025 01:21,13-03-2025 03:21,Completed,RM-0002,874,QC-202,03-13-2025 03:04,Passed,John Doe
S-01,SteelCorp,RM-0003,Steel Rod,Mild Steel,1781,kg,20-01-2023,M-202,P2-Grinding Machine 5,Grinder,04-12-2022 18:01,C-500,Customer 107,08-01-2023 17:35,P2/23/1003,Component B8,705,22-01-2023 09:21,22-01-2023 17:21,Pending Materials,,,,,,Awaiting stock confirmation
S-06,Global Metals,RM-0004,Steel Sheet,Stainless 304,844.37,lbs,29-07-2025,M-101,P1-CNC Lathe 1,Lathe,05/18/2025,C-500,Customer 52,07-16-2025 18:49,P1-25-1004,Component U2,86,01-08-2025 06:17,01-08-2025 22:17,In Progress,,,,,,Reworked:No
S-03,CopperCo,RM-0005,Copper Wire,C110,4109,meters,25-08-2023,M-202,P2-Grinding Machine 5,Grinder,20-07-2023 03:41,C-500,Customer 82,11-08-2023 13:50,1005,Component V5,541,02-09-2023 21:05,03-09-2023 12:05,Completed,RM-0005,1725,QC-205,03-09-2023 11:15,Passed,marywilliams
S-08,Precision Fasteners,RM-0006-B,Bolt Blank,A2 Stainless,"$1,031",pcs,13-05-2024,P1-LATHE-01,P1-CNC Lathe 1,Lathe,03-03-2024,C-500,Customer 104,04-26-2024 10:29,P1_24_1006,Component P7,83,18-05-2024 10:25,19-05-2024 02:25,Scheduled,,,,,,PriorityOrder:Yes
S-01,Steel Corp,RM-0007,Steel Sheet,SS-316,2591,kg,25-10-2025,M-103,P1-Wire Drawer 1,Drawer,17-09-2025 14:03,C-500,Customer 108,23-10-2025 00:09,P1-25-1007,Component C5,458,29-10-2025 11:34,30-10-2025 08:34,Completed,RM-0007,2435,QC-207,29-10-2025 14:44,Passed,Peter Jones
,,RM-0008,Polycarbonate Sheet,Clear,2393,kg,24-09-2025,M-105,P1-Waterjet Cutter,Cutter,07/20/2025,C-500,Customer 106,09-04-2025 00:34,P1-25-1008,Component I6,85,01-10-2025 23:26,02-10-2025 18:26,Quoted,,,,,,Supplier name missing
S-01,SteelCorp,RM-0009,Steel Sheet,SS-304,3101,KG,18-04-2025,M-104,P2-Stamping Press 1,Press,02-09-2025,C-500,Customer 90,03-24-2025 15:53,P1-25-1009,Component T2,86,20-04-2025 23:14,21-04-2025 17:14,Rework Complete,RM-0009,2418,QC-209,21-04-2025 16:21,Passed,Jane Smith
S-04,PlasticPro Inc.,RM-0010,ABS Filament,Natural,3440,m,14-12-2024,M-103,P1-Wire Drawer 1,Drawer,11/18/2024,C-501,Customer 123,12-11-2024 14:06,1010,Component T5,861,24-12-2024 07:11,25-12-2024 02:11,On Hold,,,,,,Reason:Machine double-booked
S-06,Global Metals,RM-0011,Titanium Sheet,Grade 2,2385,kg,24-03-2025,M-202,P2-Grinding Machine 5,Grinder,08-01-2025 20:01,C-501,Customer 80,01-03-2025 05:44,P2-25-1011,Component X9,461,26-03-2025 12:47,27-03-2025 10:47,Completed,RM-0011,1028,QC-211,27-03-2025 09:56,Passed,johndoe
S-01,SteelCorp,RM-0012,Steel Rod,Alloy Steel,2882,kg,26-03-2024,M-201,P2-Milling Machine 2,Mill,12-02-2024 17:58,C-501,Customer 132,12-03-2024 12:59,P2-24-1012,Component C1,168,28-03-2024 15:19,29-03-2024 02:19,Pending Materials,,,,,,Material receive date is after order start
S-06,GlobalMetals,RM-0013,Titanium Bar,Grade 5,1650,kg,18-03-2025,P1-LATHE-01,P1-CNC Lathe 1,Lathe,02-12-2025,C-501,Customer 115,02-19-2025 08:35,P1_25_1013,Component C9,206,22-03-2025 17:34,23-03-2025 05:34,Scheduled,,,,,,
S-03,Copper Co.,RM-0014,Copper Pipe,Type L,15118.08,ft,25-11-2025,M-201,P2-Milling Machine 2,Mill,09-10-2025 23:25,C-501,Customer 102,09-11-2025 21:05,P2-25-1014,Component X4,668,28-11-2025 07:53,28-11-2025 17:53,Completed,RM-0014,3572,QC-214,28-11-2025 17:15,Passed,marywilliams
